famiglia,strategia,e_strategia,capofila,simbolo,timeframe,motore,atteso_per_trade,oos_avg_trade,oos_net_profit,oos_max_dd,oos_n_trades,oos_profit_factor,plateau_min,wfo_efficienza,mc_dd_p95,stop_loss_pt,take_profit_pt,stop_loss,take_profit,ptn_neut_yes,ptn_neut_no,ptn_dir_yes,ptn_dir_no,start_hour,end_hour,skip_day,max_bars,intraday_only,breakout_offset_ticks,level_source,n_sess,lev_include_sess0,ptn_ly_yes,ptn_ly_no,ptn_sy_yes,ptn_sy_no,bb_length,bb_num_devs
9,10,False,False,NQ,15m,TF_U,71.9,254.4,78855,26437,310,1.39,0.43,0.28,41932,37.5,375,750,7500,,,,,17,7,-1,368,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,70.7,250.1,80286,23587,321,1.55,0.7,0.28,39211,25.0,375,500,7500,,,,,17,7,-1,368,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,70.4,248.9,81151,25340,326,1.39,0.61,0.28,35260,37.5,375,750,7500,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,58.0,205.3,67539,27264,329,1.32,0.75,0.28,42521,37.5,300,750,6000,,,,,17,7,-1,920,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,57.3,202.6,70915,23345,350,1.46,0.8,0.28,31355,25.0,225,500,4500,,,,,17,7,-1,368,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,53.6,189.5,67451,23827,356,1.44,0.66,0.28,25621,25.0,200,500,4000,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,53.2,188.4,65372,21187,347,1.42,0.72,0.28,33283,25.0,250,500,5000,,,,,17,7,-1,0,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,53.0,187.6,69410,29338,370,1.26,0.48,0.28,35347,87.5,0,1750,0,,,,,17,7,-1,48,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,52.8,186.7,61620,26502,330,1.29,0.49,0.28,39800,37.5,300,750,6000,,,,,17,7,-1,368,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,52.6,186.0,69554,21712,374,1.36,0.68,0.28,27392,62.5,250,1250,5000,,,,,17,7,-1,24,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,51.5,182.4,63096,29208,346,1.3,0.55,0.28,31143,37.5,225,750,4500,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,51.4,181.7,62514,29208,344,1.29,0.55,0.28,34068,37.5,225,750,4500,,,,,17,7,-1,368,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,50.6,179.0,62816,21187,351,1.41,0.8,0.28,29457,25.0,250,500,5000,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,50.4,178.5,60323,28753,338,1.28,0.61,0.28,35203,37.5,300,750,6000,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,50.3,178.0,65166,23692,366,1.77,0.71,0.28,18563,12.5,200,250,4000,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,49.9,176.6,65511,23448,371,1.36,0.73,0.28,25721,37.5,0,750,0,,,,,17,7,-1,48,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,49.5,175.2,62210,22827,355,1.4,0.74,0.28,27182,25.0,225,500,4500,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,49.5,175.1,60772,25734,347,1.39,0.74,0.28,31245,25.0,300,500,6000,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,49.1,173.9,58949,26308,339,1.27,0.76,0.28,38075,37.5,250,750,5000,,,,,17,7,-1,920,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,49.1,173.8,63425,23192,365,1.74,0.73,0.28,19987,12.5,225,250,4500,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,48.5,171.6,62625,23692,365,1.74,0.65,0.28,19943,12.5,200,250,4000,,,,,17,7,-1,0,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,48.4,171.4,62384,23192,364,1.73,0.72,0.28,21915,12.5,225,250,4500,,,,,17,7,-1,0,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,48.3,170.8,63205,24303,370,1.25,0.56,0.28,31969,75.0,250,1500,5000,,,,,17,7,-1,48,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,46.8,165.6,61431,26525,371,1.26,0.64,0.28,28716,62.5,200,1250,4000,,,,,17,7,-1,48,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,45.1,159.4,59614,23065,374,1.38,0.54,0.28,21591,62.5,375,1250,7500,,,,,17,7,-1,12,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,44.6,157.9,57147,25355,362,1.67,0.72,0.28,21234,12.5,250,250,5000,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,44.6,157.8,53494,26308,339,1.25,0.54,0.28,36946,37.5,250,750,5000,,,,,17,7,-1,368,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,42.7,151.1,55900,25938,370,1.23,0.47,0.28,28085,75.0,125,1500,2500,,,,,17,7,-1,48,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,42.2,149.3,53745,24480,360,1.62,0.72,0.28,21608,12.5,250,250,5000,,,,,17,7,-1,920,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,41.3,146.2,53063,20926,363,1.35,0.45,0.28,22518,25.0,150,500,3000,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,39.8,140.8,51823,23473,368,1.62,0.65,0.28,17800,12.5,150,250,3000,,,,,17,7,-1,184,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,38.6,136.5,50777,22694,372,1.37,0.73,0.28,20985,25.0,250,500,5000,,,,,17,7,-1,48,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,35.1,124.2,46066,20998,371,1.26,0.54,0.28,21964,37.5,125,750,2500,,,,,17,7,-1,48,0,,,,,31,52,52,15,,
9,10,False,False,NQ,15m,TF_U,34.8,123.1,45807,21945,372,1.32,0.67,0.28,22148,25.0,100,500,2000,,,,,17,7,-1,0,0,,,,,31,52,52,15,,
10,11,True,True,NQ,15m,TF_U,49.9,176.7,50526,21924,286,1.29,0.71,0.28,25876,87.5,125,1750,2500,,,,,17,3,4,48,0,,,,,63,79,37,137,,
10,11,False,False,NQ,15m,TF_U,38.9,137.6,39890,13804,290,1.36,0.55,0.28,17355,25.0,100,500,2000,,,,,17,3,4,0,0,,,,,63,79,37,137,,
10,11,False,False,NQ,15m,TF_U,38.4,135.8,39239,14024,289,1.4,0.54,0.28,16371,25.0,125,500,2500,,,,,17,3,4,48,0,,,,,63,79,37,137,,
10,11,False,False,NQ,15m,TF_U,35.6,126.1,37336,15703,296,1.39,0.78,0.28,34115,200.0,25,4000,500,,,,,17,3,4,0,0,,,,,63,79,37,137,,
10,11,False,False,NQ,15m,TF_U,35.4,125.4,36365,11313,290,1.55,0.46,0.28,17616,12.5,150,250,3000,,,,,17,3,4,184,0,,,,,63,79,37,137,,
10,11,False,False,NQ,15m,TF_U,31.5,111.4,32431,12524,291,1.33,0.5,0.28,17019,25.0,100,500,2000,,,,,17,3,4,48,0,,,,,63,79,37,137,,
