codice,simbolo,timeframe,motore,equivalenti,tenuta,intraday_only,ptn_neut_yes,ptn_neut_no,ptn_dir_yes,start_hour,end_hour,max_bars,stop_atr,take_profit_atr,ptn_ly_yes,ptn_ly_no,ptn_sy_yes,ptn_sy_no,not_le_day,not_se_day,level_choice,level_shift_atr,ptn_dir_no,skip_day,bb_length,bb_num_devs,level_source,n_sess,lev_include_sess0,breakout_offset_atr,direction,trailing_stop,fast,slow,gradient_length,gradient_factor,daily_factor,entry_type,le_bar,lx_bar,se_bar,sx_bar,end_long,end_short,nhigh,nlow,channel_len,dvol_min,breakeven,long_offset_atr,short_offset_atr,vol_source,vol_mult,vol_mult_short,atr_len,momentum,le_day,lx_day,le_time,lx_time,se_day,sx_day,se_time,sx_time,entrata_inizio,s_n,s_anni,s_netto,s_lordo,s_costi,s_swap,s_avg,s_dd,s_vincenti,s_allo_stop,s_notti,s_long,s_barre,s_anni_neg,s_netto_anno,s_np_dd,b_n,b_anni,b_netto,b_lordo,b_costi,b_swap,b_avg,b_dd,b_vincenti,b_allo_stop,b_notti,b_long,b_barre,b_anni_neg,b_netto_anno,b_np_dd,tenuta_broker
ES-1H-LF-065db7,ES,1h,LF,,overnight 1 giornate,0.0,55.0,56.0,52.0,1.0,16.0,23.0,0.4,0.0,41.0,42.0,41.0,42.0,-1.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,13.19,200410.81889999998,237157.6649,36746.846300000005,19669.620000000003,352.2158504393673,26371.761700000003,44.288224956063274,44.991212653778554,0.8629173989455184,55.88752196836555,23.0,3,15189.884126006433,7.599447514346376,44,0.96,28470.7853,31725.6018,3254.8165000000004,1934.2578,647.0633022727272,4923.7523,54.54545454545454,38.63636363636363,0.8636363636363636,72.72727272727273,23.0,0,29796.430747349572,5.782335009013349,1.9615969746823434
ES-1H-LFHL-28652f,ES,1h,LF_HL,,intraday,1.0,55.0,56.0,-30.0,-1.0,12.0,0.0,0.5,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,12.86,178366.9873,179987.67309999999,1620.6858,0.0,3303.0923574074077,17384.01959999997,48.148148148148145,42.592592592592595,0.0,75.92592592592592,10.5,3,13870.245286635087,10.26039957410082,1,0.0,-2537.1319,-2507.1192,30.0127,0.0,-2537.1319,2537.1319,0.0,100.0,0.0,0.0,9.0,1,,-1.0,
ES-1H-MAC-8e0899,ES,1h,MAC,,del motore,,,,,,,,0.8,0.0,,,,,,,,,,,,,,,,,1.0,0.0,16.0,24.0,5.0,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,12.97,209611.88379999998,249970.09530000002,40358.2119,31444.440000000002,705.7639185185185,16757.329100000003,48.821548821548824,8.754208754208754,1.3535353535353536,100.0,18.0,2,16155.463295621437,12.508669045593903,14,0.8,10448.2226,12420.3931,1972.1705,1551.9927000000002,746.3016142857142,5347.4508000000005,57.14285714285714,14.285714285714285,1.5714285714285714,100.0,21.5,1,13024.618787201365,1.9538697953050823,0.8062052167040846
ES-1H-PC-a19ab5,ES,1h,PC,,intraday,1.0,55.0,56.0,-27.0,1.0,4.0,0.0,0.6,0.0,,,,,,,,,53.0,-1.0,,,,,,0.1,1.0,0.0,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,692,13.19,316412.7313,337259.7393,20847.008400000002,78.22,457.2438313583815,45540.34210000001,51.15606936416185,30.924855491329478,0.001445086705202312,100.0,18.0,2,23992.059395334232,6.9479656214528065,66,0.9,-17356.0277,-15375.1897,1980.8382,0.0,-262.9701166666666,31284.29700000001,40.909090909090914,42.42424242424242,0.0,100.0,18.0,2,-19327.100967759143,-0.5547840087312812,-0.805562400846578
ES-1H-RBBU-80478d,ES,1h,RBB_U,,intraday,1.0,,,,-1.0,8.0,0.0,0.65,0.0,152.0,153.0,152.0,153.0,,,,,,-1.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1168,13.19,295890.1431,331023.1958,35133.0536,78.22,253.33060196917808,82207.27660000016,49.91438356164384,24.82876712328767,0.0008561643835616438,49.74315068493151,18.0,2,22435.92999113037,3.599318154519662,85,0.95,19076.250700000008,21627.330199999997,2551.079500000001,0.0,224.4264788235295,13272.936899999999,44.70588235294118,21.176470588235293,0.0,56.470588235294116,17.0,1,20079.540542291074,1.4372290657088869,0.8949725083929727
ES-1H-RHL-e0bf51,ES,1h,RHL,,overnight 3 giornate,0.0,32.0,56.0,38.0,-1.0,15.0,69.0,0.4,0.0,,,,,,,,,53.0,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.15,0.3,,,,,,,,,,,,,,,173,13.03,316796.62429999997,346002.3611,29205.7371,24013.54,1831.1943601156067,32622.515400000033,35.26011560693642,63.005780346820806,1.7745664739884393,100.0,16.0,1,24313.924569358056,9.710980910441984,7,0.54,14781.1132,15883.163099999998,1102.0499,891.961,2111.5876,3700.2536999999993,42.857142857142854,57.14285714285714,1.8571428571428572,100.0,38.0,0,27405.084245177666,3.9946215579758766,1.1271353650457272
ES-1H-VBO-195d04,ES,1h,VBO,,intraday,1.0,3.0,56.0,9.0,4.0,7.0,0.0,0.5,0.0,,,,,,,,,53.0,-1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,3.0,0.5,4.0,5.0,0.0,,,,,,,,,,791,13.19,240686.8911,264505.15619999997,23818.265700000004,78.22,304.28178394437424,47003.37799999991,49.68394437420986,34.639696586599236,0.0012642225031605564,99.49431099873578,16.0,3,18253.92171392753,5.120629651341239,61,0.96,2651.7478999999985,4482.5226,1830.7747,0.0,43.4712770491803,19384.0039,42.62295081967213,37.704918032786885,0.0,100.0,15.0,1,2775.217537177649,0.13680083401138804,0.15203404400820839
ES-30M-BOS-0629bd,ES,30m,BO_S,,intraday,1.0,28.0,56.0,-9.0,1.0,8.0,0.0,0.8,0.0,,,,,,,,,53.0,3.0,,,1.0,1.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537,13.11,316619.9303,332736.7499,16116.819900000002,0.0,589.6088087523277,36586.82800000021,49.162011173184354,22.532588454376164,0.0,50.46554934823091,37.0,3,24143.095937802715,8.653932237580097,54,0.95,-29785.435499999996,-28164.7499,1620.6858,0.0,-551.5821388888888,37597.6461,40.74074074074074,33.33333333333333,0.0,51.85185185185185,37.5,2,-31442.57316871387,-0.7922154334018267,-1.302342220306626
ES-30M-LF-44d4f3,ES,30m,LF,,overnight 1 giornate,0.0,32.0,19.0,52.0,1.0,17.0,46.0,0.3,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,13.11,199660.7739,216695.339,17034.5654,7970.73,661.128390397351,21902.80350000001,34.7682119205298,63.24503311258278,0.609271523178808,57.615894039735096,14.5,4,15234.196295587006,9.115763372483341,41,0.88,1054.3116000000018,3610.069999999998,2555.7584,1325.2377000000001,25.714917073170778,21085.3162,29.268292682926827,70.73170731707317,0.5365853658536586,60.97560975609756,9.0,1,1192.220779876163,0.05000217165346573,0.07825951279238287
ES-30M-LFHL-a1480e,ES,30m,LF_HL,,overnight 2 giornate,0.0,4.0,56.0,52.0,-1.0,11.0,92.0,0.65,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,13.03,224225.8092,238050.27589999998,13824.4667,10192.93,1853.1058611570247,19550.5233,52.892561983471076,38.84297520661157,1.8512396694214877,64.46280991735537,92.0,2,17205.56235510504,11.469043859301708,14,0.77,18440.077300000004,20981.5041,2541.4267999999997,2121.2490000000003,1317.1483785714288,5869.437299999998,64.28571428571429,35.714285714285715,2.2142857142857144,85.71428571428571,92.0,1,23968.81933745552,3.1417112676201535,1.393085494258417
ES-30M-MAC-1dbff7,ES,30m,MAC,,del motore,,,,,,,,0.5,0.0,,,,,,,,,,,,,,,,,1.0,0.0,12.0,24.0,2.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,13.16,127895.243,186453.4719,58558.229600000006,39110.00000000001,197.36920216049384,28193.81980000001,44.75308641975309,15.277777777777779,0.7716049382716049,100.0,18.0,4,9715.835587718388,4.536286459488543,41,0.93,4342.072200000001,7221.769400000001,2879.6972000000005,1649.1765,105.90420000000003,11632.6302,41.46341463414634,24.390243902439025,0.5609756097560976,100.0,18.0,0,4692.135713165682,0.37326658935654994,0.48293691991833687
ES-30M-PC-4cb3dc,ES,30m,PC,,intraday,1.0,3.0,56.0,52.0,3.0,14.0,0.0,2.2,1.3,,,,,,,,,53.0,-1.0,,,,,,0.05,1.0,0.0,,,,,,,,,,,,,,,10.0,0.0,0.0,,,,,,,,,,,,,,,,,1162,13.19,366328.54040000006,401281.5169,34952.9774,78.22,315.2569194492255,49999.55780000021,56.28227194492255,0.8605851979345954,0.0008605851979345956,100.0,26.0,1,27782.70335986296,7.326635604765259,74,0.95,-13897.602499999999,-11676.662700000003,2220.9398000000006,0.0,-187.80543918918917,23391.694600000003,51.35135135135135,0.0,0.0,100.0,27.0,2,-14586.492279094826,-0.5941255106844631,-0.5250206248887788
ES-30M-RBBM-2bd92b,ES,30m,RBB_M,,overnight 1 giornate,0.0,31.0,56.0,52.0,7.0,10.0,46.0,0.4,0.0,,,,,,,,,53.0,-1.0,10.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017,13.19,288794.93330000003,344966.40760000004,56171.4759,25648.559999999998,283.96748603736484,63834.846799999985,38.64306784660767,53.49065880039331,0.6814159292035398,44.83775811209439,28.0,2,21897.934271917173,4.5240953456788136,90,0.88,50213.108799999995,55432.3107,5219.2020999999995,2518.0591,557.9234311111111,19802.655499999993,40.0,53.333333333333336,0.7555555555555555,43.333333333333336,38.0,0,57135.00931214952,2.5356755208916306,2.6091506441966925
ES-30M-RBBU-b45540,ES,30m,RBB_U,,intraday,1.0,,,,-1.0,20.0,0.0,2.2,0.0,152.0,153.0,152.0,153.0,,,,,,-1.0,50.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2665,13.19,332333.29170000006,412398.02540000004,80064.73550000001,80.89,124.7029237148218,78063.96750000009,51.106941838649156,0.7879924953095686,0.00075046904315197,51.106941838649156,15.0,2,25188.780824533103,4.257191920203129,200,0.96,28863.9294,34866.469,6002.54,0.0,144.319647,20045.011000000006,47.5,0.0,0.0,54.0,14.0,0,30207.88026747851,1.439955777524891,1.1992593241375524
ES-30M-RHL-a8743f,ES,30m,RHL,,overnight 3 giornate,0.0,55.0,56.0,28.0,-1.0,16.0,138.0,0.6,0.0,,,,,,,,,53.0,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.15,0.3,,,,,,,,,,,,,,,413,13.15,475122.2605,559088.8049999999,83966.54510000002,71571.30000000002,1150.4170956416465,47973.95099999997,38.49878934624697,57.384987893462466,2.2154963680387407,100.0,87.0,0,36138.77668630258,9.90375507116352,34,0.87,51806.3029,57871.360100000005,6065.0573,5044.6255,1523.7147911764707,16523.977000000003,41.17647058823529,58.82352941176471,2.1176470588235294,100.0,76.0,0,59317.40480948276,3.1352199836637387,1.641378326786734
ES-30M-VBO-b11457,ES,30m,VBO,,intraday,1.0,33.0,20.0,52.0,16.0,21.0,0.0,0.4,0.0,,,,,,,,,53.0,-1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,0.7,8.5,5.0,0.0,,,,,,,,,,346,13.13,112930.26930000001,123314.66320000001,10384.3942,0.0,326.3880615606937,18360.445099999983,58.092485549132945,22.54335260115607,0.0,100.0,7.0,3,8602.24835491658,6.150737015629328,27,0.84,-5069.9192,-4259.5763000000015,810.3429,0.0,-187.7747851851852,6453.1794,40.74074074074074,29.629629629629626,0.0,100.0,4.0,2,-6051.594731372549,-0.785646715477955,-0.7034898879563021
ES-4H-BO-d4c2e5,ES,4h,BO,,intraday,1.0,55.0,56.0,52.0,-1.0,4.0,0.0,0.2,1.3,,,,,,,,,53.0,3.0,,,0.0,2.0,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,12.96,67807.01629999999,69937.91799999999,2130.9017000000003,0.0,955.0283985915491,14569.8991,33.80281690140845,66.19718309859155,0.0,33.80281690140845,1.0,3,5231.6249901932815,4.653911179110361,11,0.72,399.18970000000024,729.3294000000004,330.1397,0.0,36.28997272727275,3749.6633,45.45454545454545,54.54545454545454,0.0,36.36363636363637,3.0,1,554.3879769011411,0.10646014536825218,0.10596860018452112
ES-4H-MAC-ff6723,ES,4h,MAC,,del motore,,,,,,,,0.65,0.0,,,,,,,,,,,,,,,,,1.0,0.0,5.0,20.0,3.0,1.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,12.62,132381.50800000003,151322.3983,18940.890300000003,16269.76,1487.4326741573036,19400.6285,46.06741573033708,35.95505617977528,2.337078651685393,100.0,7.0,3,10493.130598307294,6.823568009665256,7,0.71,-5322.8596,-3466.5238,1856.3358,1646.2468999999999,-760.4085142857142,5322.8596,14.285714285714285,28.57142857142857,3.2857142857142856,100.0,17.0,2,-7477.594111153846,-1.0,-0.7126180353039825
ES-4H-PC-3671de,ES,4h,PC,,overnight 5 giornate,0.0,11.0,56.0,-27.0,-1.0,4.0,30.0,1.15,0.0,,,,,,,,,53.0,-1.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,327,13.18,417157.22630000004,502478.5288999999,85321.30290000001,75507.15,1275.710172171254,64865.28890000001,49.54128440366973,38.226299694189606,5.229357798165138,52.293577981651374,30.0,2,31650.743021619237,6.4311318638095205,29,0.95,5307.114999999998,10731.8225,5424.7075,4554.3393,183.0039655172413,23015.8614,48.275862068965516,44.827586206896555,4.620689655172414,44.827586206896555,30.0,1,5570.183200431032,0.23058511292564515,0.1759890185398265
FDAX-15M-BIASRT-c2029f,FDAX,15m,BIAS_RT,,del motore,,,,,,,,0.6,0.0,152.0,153.0,153.0,153.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,3.0,41.0,14.0,5.0,14.0,28.0,28.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,3286,13.19,451329.79709999997,552374.2971,101044.5,0.0,137.3492991783323,33246.742699999944,56.57334144856969,2.586731588557517,0.0,100.0,12.0,1,34207.97019937228,13.575158359799282,240,0.96,10490.9805,17870.980499999998,7380.0,0.0,43.71241875,17155.0516,53.333333333333336,3.3333333333333335,0.0,100.0,12.0,1,10948.0875075,0.6115388484171042,0.32004493232693765
FDAX-15M-BOS-3fefca,FDAX,15m,BO_S,,overnight 1 giornate,0.0,55.0,1.0,52.0,8.0,13.0,56.0,0.65,0.0,,,,,,,,,53.0,-1.0,,,1.0,1.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,13.19,916431.9794000001,1108525.7589,192093.78,131577.78,465.666656199187,104386.7570999997,47.66260162601626,29.72560975609756,1.1341463414634145,50.30487804878049,56.0,3,69459.80088728991,8.779197714917832,140,0.97,-24635.80100000001,-12427.911600000009,12207.889900000002,7902.8899,-175.9700071428572,77958.77350000001,40.0,37.142857142857146,1.0071428571428571,47.85714285714286,56.0,2,-25275.9166158708,-0.3160106283611556,-0.3638927306584881
FDAX-15M-LF-b449a3,FDAX,15m,LF,,overnight 5 giornate,0.0,55.0,56.0,52.0,12.0,10.0,280.0,1.6,8.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,13.19,1019367.1740000001,1219034.8662,199667.6925,184661.6925,2088.8671598360656,160280.30980000005,52.04918032786885,25.0,6.461065573770492,50.81967213114754,280.0,4,77293.72229676148,6.359902693424915,41,0.94,-20509.219900000004,-5875.918099999988,14633.3018,13372.551800000001,-500.22487560975617,64464.7669,53.65853658536586,29.268292682926827,6.073170731707317,51.21951219512195,280.0,1,-21776.14118742733,-0.31814618878269774,-0.2817323391907563
FDAX-15M-LFHL-7aed56,FDAX,15m,LF_HL,,intraday,1.0,25.0,56.0,-28.0,8.0,13.0,0.0,0.5,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,13.17,383114.67819999997,398059.17819999997,14944.5,0.0,788.3018069958847,50281.24960000004,48.971193415637856,30.04115226337449,0.0,40.123456790123456,44.0,3,29098.07365617592,7.619434306978713,44,0.95,37453.8204,38806.8204,1353.0,0.0,851.2231909090908,24908.181,52.27272727272727,27.27272727272727,0.0,43.18181818181818,45.0,0,39537.59508988439,1.5036754550643419,1.3587701906683687
FDAX-15M-MAC-bb1459,FDAX,15m,MAC,,del motore,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,8.0,50.0,5.0,2.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,13.13,262801.68929999997,304506.8567,41705.167499999996,22824.667500000003,428.01578061889245,79971.03420000002,35.83061889250814,0.9771986970684038,0.5472312703583062,48.20846905537459,25.0,3,20014.24458232381,3.286210962868852,48,0.93,-16328.065000000002,-12999.25,3328.815,1852.815,-340.1680208333334,28676.860699999997,31.25,0.0,0.6041666666666666,54.166666666666664,24.5,2,-17592.406316371686,-0.5693811875300564,-0.8789942705061652
FDAX-15M-RHL-d6f71d,FDAX,15m,RHL,,overnight 2 giornate,0.0,55.0,56.0,-13.0,-1.0,16.0,112.0,0.3,0.0,,,,,,,,,53.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.1,0.5,,,,,,,,,,,,,,,315,13.11,364209.0335,417977.9736,53768.939999999995,44082.69,1156.219153968254,57220.5263,26.34920634920635,71.42857142857143,1.2507936507936508,100.0,27.0,5,27789.29381363589,6.3650067038967455,21,0.98,-29390.465799999994,-27801.689600000005,1588.7761,943.0261,-1399.5459904761901,35822.043900000004,19.047619047619047,80.95238095238095,0.42857142857142855,100.0,13.0,2,-29985.663780586587,-0.8204575339711421,-1.0790365520505945
FDAX-1H-BO-234d33,FDAX,1h,BO,,intraday,1.0,55.0,56.0,28.0,11.0,14.0,0.0,0.6,1.7,,,,,,,,,53.0,1.0,,,0.0,5.0,1.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,13.13,441649.6439,454626.1439,12976.5,0.0,1046.5631372037915,34133.38219999999,54.976303317535546,17.061611374407583,0.0,56.6350710900474,9.0,4,33634.806596012306,12.938935887226556,29,0.9,-37730.2501,-36838.5001,891.75,0.0,-1301.0431068965515,38078.730200000005,27.586206896551722,13.793103448275861,0.0,55.172413793103445,10.0,2,-41887.45850767477,-0.9908484317053197,-1.2453604687187612
FDAX-1H-BOS-541680,FDAX,1h,BO_S,,intraday,1.0,55.0,56.0,52.0,-1.0,12.0,0.0,0.4,1.0,,,,,,,,,53.0,3.0,,,1.0,1.0,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943,13.19,588324.6597,648071.9097,59747.25,0.0,302.7918989706639,102607.50449999957,45.599588265568705,41.84251158003088,0.0,48.89346371590324,9.0,3,44591.32225678045,5.733739092153853,143,0.96,28398.876399999994,32796.126399999994,4397.25,0.0,198.59354125874123,32634.2706,44.05594405594406,46.15384615384615,0.0,53.14685314685315,7.0,1,29636.256014571423,0.870216366962404,0.6646193589844717
FDAX-1H-LF-03a541,FDAX,1h,LF,,overnight 10 giornate,0.0,55.0,56.0,52.0,-1.0,14.0,140.0,1.6,0.0,41.0,42.0,41.0,42.0,-1.0,3.0,1.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,13.15,717865.6461,857594.1910000001,139728.54499999998,133763.04499999998,3700.338381958763,93375.78749999998,46.391752577319586,37.11340206185567,11.268041237113403,55.154639175257735,140.0,3,54602.33803374115,7.687920662516503,9,0.73,-56314.7695,-51237.8774,5076.8919000000005,4800.1419000000005,-6257.196611111111,56314.7695,33.33333333333333,33.33333333333333,10.444444444444445,33.33333333333333,140.0,2,-77618.75305613207,-1.0,-1.4215280123750027
FDAX-1H-LFHL-e4baa9,FDAX,1h,LF_HL,,overnight 1 giornate,0.0,55.0,56.0,-23.0,-1.0,13.0,14.0,1.6,1.7,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,13.05,450771.1441,473804.9643,23033.819999999996,17037.57,2311.6468928205127,56972.89630000002,54.871794871794876,2.051282051282051,1.3282051282051281,54.35897435897436,14.0,1,34531.07390573091,7.912027882984769,11,0.5,-20437.906000000003,-19143.5311,1294.375,956.1249999999999,-1857.9914545454549,49355.2215,36.36363636363637,9.090909090909092,1.4545454545454546,54.54545454545454,14.0,1,-41242.79097513813,-0.4140981517021457,-1.1943674583573642
FDAX-1H-MAC-ba5e30,FDAX,1h,MAC,,del motore,,,,,,,,0.4,0.0,,,,,,,,,,,,,,,,,1.0,0.0,5.0,20.0,3.0,1.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,13.07,206642.8838,249833.13390000002,43190.25,33565.5,660.2009067092652,43026.60239999999,41.853035143769965,39.936102236421725,0.9584664536741214,100.0,9.0,2,15813.181082746702,4.802677233933769,28,0.89,-38262.8388,-35331.8082,2931.0303000000004,2070.0302999999994,-1366.529957142857,52848.4018,25.0,42.857142857142854,0.7142857142857143,100.0,6.0,1,-43001.54422061538,-0.7240112755879025,-2.719348118231132
FDAX-1H-PC-22b63c,FDAX,1h,PC,,intraday,1.0,3.0,30.0,-27.0,9.0,18.0,0.0,0.6,0.0,,,,,,,,,53.0,-1.0,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,10.0,0.0,0.0,,,,,,,,,,,,,,,,,718,13.17,582279.9116999999,604358.4117,22078.5,0.0,810.9748073816155,48172.27639999997,56.824512534818936,15.73816155988858,0.0,100.0,9.0,0,44224.94026791952,12.087448532949136,58,0.92,22291.9649,24075.4649,1783.5,0.0,384.3442224137931,26073.687899999997,50.0,12.068965517241379,0.0,100.0,7.5,0,24160.653352299705,0.8549601799904953,0.5463128543742926
FDAX-1H-RHL-38fb85,FDAX,1h,RHL,,overnight 3 giornate,0.0,33.0,56.0,52.0,11.0,14.0,42.0,1.25,4.0,,,,,,,,,53.0,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.2,,,,,,,,,,,,,,,464,13.19,904617.8438,1107188.2995000002,202570.45500000002,188302.45500000002,1949.6074219827588,171665.51250000004,51.508620689655174,31.68103448275862,3.627155172413793,100.0,42.0,2,68564.3634463478,5.2696539370422455,23,0.95,81999.7053,92706.98980000001,10707.2846,10000.0346,3565.2045782608698,32944.638,65.21739130434783,21.73913043478261,4.260869565217392,100.0,42.0,0,86064.34586443966,2.48901521698311,1.255234374512727
FDAX-1H-VBO-6acd7e,FDAX,1h,VBO,,overnight 3 giornate,0.0,3.0,40.0,52.0,16.0,17.0,42.0,0.4,0.0,,,,,,,,,53.0,-1.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,0.0,,,3.0,0.7,9.5,20.0,0.0,,,,,,,,,,467,13.15,724002.8766,872177.5872,148174.71,133814.46,1550.3273588865095,99073.67849999957,35.76017130620985,62.098501070663815,2.5610278372591004,100.0,21.0,3,55057.68283950655,7.307721763858835,33,0.9,-16396.142599999992,-8409.473100000007,7986.6696,6971.919599999999,-496.8528060606058,48254.7516,24.242424242424242,75.75757575757575,2.0303030303030303,100.0,7.0,1,-18258.20452637194,-0.33978296553908677,-0.33161955942814936
FDAX-30M-BO-804e20,FDAX,30m,BO,,overnight 1 giornate,0.0,3.0,56.0,52.0,12.0,17.0,28.0,0.3,0.0,,,,,,,,,15.0,-1.0,,,0.0,5.0,1.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,13.09,325986.9405,364667.2756,38680.33499999999,26995.335,857.8603697368421,50640.9981,39.73684210526316,55.52631578947368,0.9157894736842105,61.8421052631579,20.5,3,24909.357744273013,6.437213971499508,33,0.95,-19533.888100000004,-15173.904799999998,4359.9836000000005,3345.2336,-591.9360030303031,23718.2918,33.33333333333333,57.57575757575758,1.303030303030303,63.63636363636363,23.0,2,-20502.162725646554,-0.8235790445920732,-0.8230707084513357
FDAX-30M-BOS-955403,FDAX,30m,BO_S,,intraday,1.0,39.0,56.0,52.0,9.0,9.0,0.0,0.65,0.0,,,,,,,,,53.0,-1.0,,,1.0,1.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837,13.19,679549.4363,736037.1863,56487.75,0.0,369.9234819270549,95774.56019999972,50.789330430049,22.427871529667936,0.0,47.359825802939575,25.0,2,51516.27887268057,7.0953020810635055,151,0.96,48164.12680000001,52807.37680000001,4643.25,0.0,318.967727152318,43260.714699999975,51.65562913907284,20.52980132450331,0.0,49.668874172185426,25.0,1,50406.725827220645,1.11334561007611,0.9784620886884684
FDAX-30M-LF-3bd3fa,FDAX,30m,LF,,overnight 2 giornate,0.0,29.0,2.0,52.0,10.0,14.0,56.0,0.4,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,12.94,281145.1157,295516.69570000004,14371.579999999998,10312.580000000002,2129.8872401515155,32273.522699999994,45.45454545454545,51.515151515151516,1.606060606060606,48.484848484848484,49.0,1,21728.365109907958,8.711324087965151,7,0.93,4290.417300000001,4725.812300000001,435.39500000000004,220.145,612.9167571428573,8129.5051,28.57142857142857,71.42857142857143,0.7142857142857143,71.42857142857143,8.0,1,4609.0438788970605,0.5277587315862562,0.2121210618278581
FDAX-30M-MAC-9c292b,FDAX,30m,MAC,,del motore,,,,,,,,0.6,0.0,,,,,,,,,,,,,,,,,0.0,0.0,20.0,24.0,1.0,1.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928,13.18,484302.88969999994,547925.7848,63622.895000000004,35086.895000000004,521.878113900862,64332.228999999876,44.827586206896555,15.517241379310345,0.6002155172413793,52.370689655172406,14.0,3,36737.61795699377,7.5281534190273565,65,0.93,-56439.36329999999,-51708.266899999995,4731.0963,2732.3463,-868.2978969230768,61898.8599,33.84615384615385,21.53846153846154,0.6615384615384615,55.38461538461539,13.0,2,-60630.81601566176,-0.9117997228249431,-1.6503741774068785
FDAX-30M-PC-aa3ddd,FDAX,30m,PC,,intraday,1.0,26.0,56.0,28.0,10.0,17.0,0.0,0.5,1.7,,,,,,,,,53.0,-1.0,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,20.0,0.0,0.0,,,,,,,,,,,,,,,,,682,13.16,423940.35819999996,444911.85819999996,20971.5,0.0,621.6134284457478,49867.60959999997,53.665689149560116,21.994134897360702,0.0,100.0,19.0,2,32218.937959332085,8.501317019214016,50,0.9,-35159.3825,-33621.8825,1537.5,0.0,-703.18765,54743.186799999996,46.0,34.0,0.0,100.0,19.5,1,-39152.330665015244,-0.6422604264609602,-1.2151961903410577
